timestamp,station_id,name,bikes_available,docks_available
2026-08-18T12:03+00:00,smoove:355,Halmetie,6,10
2026-08-18T12:03+00:00,smoove:114,Ratapihantie,4,16
2026-08-18T12:03+00:00,smoove:235,Katariina Saksilaisen katu,6,10
2026-08-18T12:03+00:00,smoove:356,Laulurastaantie,8,6
2026-08-18T12:03+00:00,smoove:115,Venttiilikuja,4,12
2026-08-18T12:03+00:00,smoove:236,Hernepellontie,9,5
2026-08-18T12:03+00:00,smoove:357,Vanha Tapanilantie,7,9
2026-08-18T12:03+00:00,smoove:116,Linnanmäki,0,28
2026-08-18T12:03+00:00,smoove:237,Aulangontie,5,11
2026-08-18T12:03+00:00,smoove:358,Syystie,3,15
2026-08-18T12:03+00:00,smoove:117,Brahen puistikko,3,9
2026-08-18T12:03+00:00,smoove:238,Pihlajamäki,2,14
2026-08-18T12:03+00:00,smoove:359,Malmin sairaala,2,14
2026-08-18T12:03+00:00,smoove:591,Mellstenintie,25,5
2026-08-18T12:03+00:00,smoove:350,Töyrynummi,5,9
2026-08-18T12:03+00:00,smoove:593,Toppelundintie,1,11
2026-08-18T12:03+00:00,smoove:230,Mäkitorpantie,1,13
2026-08-18T12:03+00:00,smoove:351,Kotinummentie,11,5
2026-08-18T12:03+00:00,smoove:008,Vanha kirkkopuisto,13,11
2026-08-18T12:03+00:00,smoove:129,Pernajantie,5,13
2026-08-18T12:03+00:00,smoove:009,Erottajan aukio,61,0
2026-08-18T12:03+00:00,smoove:121,Vilhonvuorenkatu,4,10
2026-08-18T12:03+00:00,smoove:363,Väärämäentie,10,2
2026-08-18T12:03+00:00,smoove:242,Von Daehnin katu,1,13
2026-08-18T12:03+00:00,smoove:001,Kaivopuisto,10,20
2026-08-18T12:03+00:00,smoove:122,Lintulahdenkatu,11,13
2026-08-18T12:03+00:00,smoove:243,Mustikkamaa,9,5
2026-08-18T12:03+00:00,smoove:364,Ala-Malmin tori,8,8
2026-08-18T12:03+00:00,smoove:123,Näkinsilta,5,21
2026-08-18T12:03+00:00,smoove:002,Laivasillankatu,3,9
2026-08-18T12:03+00:00,smoove:244,Relanderinaukio,3,13
2026-08-18T12:03+00:00,smoove:365,Karviaistie,10,6
2026-08-18T12:03+00:00,smoove:003,Kapteeninpuistikko,7,9
2026-08-18T12:03+00:00,smoove:124,Isoisänsilta,10,8
2026-08-18T12:03+00:00,smoove:366,Tilketori,5,15
2026-08-18T12:03+00:00,smoove:245,Kulosaari (M),1,19
2026-08-18T12:03+00:00,smoove:004,Viiskulma,0,14
2026-08-18T12:03+00:00,smoove:125,Arielinkatu,10,6
2026-08-18T12:03+00:00,smoove:246,Tupasaarentie,2,10
2026-08-18T12:03+00:00,smoove:367,Karhusuontie,2,12
2026-08-18T12:03+00:00,smoove:005,Sepänkatu,9,23
2026-08-18T12:03+00:00,smoove:126,Kalasatama (M),12,12
2026-08-18T12:03+00:00,smoove:368,Pukinmäen liikuntapuisto,5,9
2026-08-18T12:03+00:00,smoove:247,Haakoninlahdenkatu,3,13
2026-08-18T12:03+00:00,smoove:127,Teurastamo,24,6
2026-08-18T12:03+00:00,smoove:006,Hietalahdentori,6,18
2026-08-18T12:03+00:00,smoove:369,Pukinmäen asema,24,0
2026-08-18T12:03+00:00,smoove:248,Gunillantie,3,13
2026-08-18T12:03+00:00,smoove:007,Designmuseo,1,13
2026-08-18T12:03+00:00,smoove:128,Päijänteentie,1,13
2026-08-18T12:03+00:00,smoove:249,Isosaarentie,12,2
2026-08-18T12:03+00:00,smoove:360,Malmin asema,11,13
2026-08-18T12:03+00:00,smoove:240,Viikin normaalikoulu,15,5
2026-08-18T12:03+00:00,smoove:361,Huhtakuja,7,9
2026-08-18T12:03+00:00,smoove:120,Mäkelänkatu,9,17
2026-08-18T12:03+00:00,smoove:241,Agronominkatu,37,0
2026-08-18T12:03+00:00,smoove:362,Teerisuontie,20,0
2026-08-18T12:03+00:00,smoove:019,Rautatientori / itä,26,0
2026-08-18T12:03+00:00,smoove:011,Unioninkatu,45,0
2026-08-18T12:03+00:00,smoove:132,Urhea-kampus,6,6
2026-08-18T12:03+00:00,smoove:253,Tammisalon aukio,7,13
2026-08-18T12:03+00:00,smoove:374,Etupellonpuisto,2,16
2026-08-18T12:03+00:00,smoove:133,Paavalinpuisto,4,18
2026-08-18T12:03+00:00,smoove:012,Kanavaranta,25,9
2026-08-18T12:03+00:00,smoove:254,Agnetankuja,2,14
2026-08-18T12:03+00:00,smoove:375,Piikintie,10,2
2026-08-18T12:03+00:00,smoove:134,Haukilahdenkatu,16,11
2026-08-18T12:03+00:00,smoove:013,Merisotilaantori,20,4
2026-08-18T12:03+00:00,smoove:255,Laivalahden puistotie,6,10
2026-08-18T12:03+00:00,smoove:376,Torpparinmäentie,1,15
2026-08-18T12:03+00:00,smoove:014,Senaatintori,19,3
2026-08-18T12:03+00:00,smoove:135,Velodrominrinne,2,10
2026-08-18T12:03+00:00,smoove:377,Paloheinän maja,9,11
2026-08-18T12:03+00:00,smoove:256,Herttoniemenranta,2,12
2026-08-18T12:03+00:00,smoove:136,Sofianlehdonkatu,9,3
2026-08-18T12:03+00:00,smoove:015,Ritarikatu,4,16
2026-08-18T12:03+00:00,smoove:257,Margareetankuja,2,16
2026-08-18T12:03+00:00,smoove:378,Paloheinäntie,11,5
2026-08-18T12:03+00:00,smoove:137,Arabian kauppakeskus,33,0
2026-08-18T12:03+00:00,smoove:016,Liisanpuistikko,8,9
2026-08-18T12:03+00:00,smoove:379,Paloheinän kirjasto,5,13
2026-08-18T12:03+00:00,smoove:258,Abraham Wetterin tie,7,9
2026-08-18T12:03+00:00,smoove:138,Arabiankatu,4,18
2026-08-18T12:03+00:00,smoove:017,Varsapuistikko,32,0
2026-08-18T12:03+00:00,smoove:259,Petter Wetterin tie,2,18
2026-08-18T12:03+00:00,smoove:139,Muotoilijankatu,11,5
2026-08-18T12:03+00:00,smoove:018,Porthania,48,0
2026-08-18T12:03+00:00,smoove:370,Rapakiventie,2,14
2026-08-18T12:03+00:00,smoove:250,Reiherintie,2,10
2026-08-18T12:03+00:00,smoove:371,Savela,10,4
2026-08-18T12:03+00:00,smoove:130,Teollisuuskatu,24,0
2026-08-18T12:03+00:00,smoove:251,Laajasalon ostoskeskus,7,9
2026-08-18T12:03+00:00,smoove:372,Jokipellontie,16,0
2026-08-18T12:03+00:00,smoove:010,Kasarmitori,35,0
2026-08-18T12:03+00:00,smoove:131,Elimäenkatu,13,10
2026-08-18T12:03+00:00,smoove:252,Humalniementie,1,13
2026-08-18T12:03+00:00,smoove:373,Mikkolantie,3,13
2026-08-18T12:03+00:00,smoove:022,Rautatientori / länsi,28,0
2026-08-18T12:03+00:00,smoove:143,Kuikkarinne,4,8
2026-08-18T12:03+00:00,smoove:264,Eränkävijäntori,0,16
2026-08-18T12:03+00:00,smoove:385,Pajupillintie,0,16
2026-08-18T12:03+00:00,smoove:023,Kiasma,17,1
2026-08-18T12:03+00:00,smoove:144,Käpyläntie,0,14
2026-08-18T12:03+00:00,smoove:265,Siilitie 9,3,13
2026-08-18T12:03+00:00,smoove:386,Kannelmäen liikuntapuisto,6,10
2026-08-18T12:03+00:00,smoove:024,Mannerheimintie,33,0
2026-08-18T12:03+00:00,smoove:145,Pohjolankatu,0,22
2026-08-18T12:03+00:00,smoove:266,Siilitie 13,0,14
2026-08-18T12:03+00:00,smoove:387,Kauppakeskus Kaari,0,16
2026-08-18T12:03+00:00,smoove:025,Narinkka,19,21
2026-08-18T12:03+00:00,smoove:146,Pohjolanaukio,2,14
2026-08-18T12:03+00:00,smoove:267,Roihupelto,27,0
2026-08-18T12:03+00:00,smoove:388,Kaustisentie,0,16
2026-08-18T12:03+00:00,smoove:147,Käpylän asema,2,12
2026-08-18T12:03+00:00,smoove:026,Kamppi (M),2,16
2026-08-18T12:03+00:00,smoove:268,Porolahden koulu,15,0
2026-08-18T12:03+00:00,smoove:389,Kannelmäen asema,2,12
2026-08-18T12:03+00:00,smoove:148,Juhana Herttuan tie,0,16
2026-08-18T12:03+00:00,smoove:027,Eerikinkatu,0,14
2026-08-18T12:03+00:00,smoove:269,Peukaloisentie,1,11
2026-08-18T12:03+00:00,smoove:149,Toinen linja,1,21
2026-08-18T12:03+00:00,smoove:028,Lastenlehto,1,15
2026-08-18T12:03+00:00,smoove:029,Baana,8,8
2026-08-18T12:03+00:00,smoove:380,Pirkkolan liikuntapuisto,3,11
2026-08-18T12:03+00:00,smoove:260,Herttoniemi (M),3,21
